timestamp_s,roll_deg,pitch_deg,yaw_deg
118.112963,5.918092,-83.453027,-136.257274
118.123223,5.366537,-83.044186,-136.618619
118.143474,1.273978,-82.925265,-140.707648
118.153739,-0.404491,-83.053557,-142.506228
118.174195,-0.283896,-82.930477,-142.555474
118.184409,0.289624,-82.827635,-141.928899
118.194649,0.682424,-82.657112,-141.555821
118.204914,0.209496,-82.531553,-142.036065
118.215108,-1.276349,-82.505352,-143.431609
118.235465,-4.646406,-82.791380,-147.450602
118.245705,-5.219777,-82.568135,-148.267356
118.255969,-5.298999,-82.415221,-148.209135
118.266185,-5.594120,-82.008859,-148.437619
118.276424,-5.326023,-81.759407,-148.013614
118.286664,-4.915158,-81.554241,-147.434524
118.307169,-6.480419,-81.652658,-149.209703
118.317132,-7.551106,-81.797376,-150.382515
118.327296,-7.504941,-81.710161,-150.549145
118.337536,-8.102134,-81.912840,-151.305315
118.347751,-9.203661,-82.112705,-152.731130
118.368256,-11.149603,-81.952920,-155.057684
118.378496,-11.384955,-81.581979,-155.332449
118.388736,-10.769037,-81.096578,-154.671546
118.398976,-10.476095,-81.035133,-154.160429
118.409090,-10.844301,-81.130312,-154.656533
118.419103,-12.108840,-81.335122,-156.092881
118.429343,-12.938256,-81.168650,-157.245804
118.449823,-11.825977,-80.859912,-156.189856
118.460088,-12.158443,-81.143638,-156.596020
118.470303,-12.505796,-81.129492,-157.227663
118.480543,-14.328530,-81.464520,-159.250382
118.490767,-14.993404,-81.342970,-160.293557
118.510988,-15.344443,-81.376001,-160.735115
118.521254,-15.110989,-81.526941,-160.462700
118.531443,-14.534484,-81.634940,-159.937964
118.541658,-15.241221,-81.741197,-160.596517
118.551898,-16.767640,-81.602415,-162.232702
118.562163,-18.834187,-81.404421,-164.528575
118.582495,-17.492374,-81.014035,-163.053445
118.592563,-15.053675,-80.898536,-160.297163
118.602728,-13.139302,-81.012375,-158.064702
118.612842,-11.776971,-81.015326,-156.580557
118.622855,-12.547349,-81.262476,-157.371534
118.643335,-16.337589,-81.621239,-161.681547
118.653575,-17.899960,-81.806883,-163.557363
118.663815,-19.195825,-82.039007,-165.149890
118.674080,-19.047251,-81.986579,-165.133197
118.684285,-18.079205,-82.076846,-164.085473
118.694495,-16.128884,-81.899931,-161.958279
118.714999,-13.688794,-81.462567,-159.000793
118.766197,-13.349695,-81.793831,-158.904023
118.806740,-15.588546,-83.009420,-161.904566
118.847724,-18.172644,-82.018025,-165.077135
118.888331,-10.896757,-80.843710,-156.304166
118.949742,-13.893352,-81.274736,-160.070497
119.011202,-15.174609,-81.022764,-161.444594
119.062008,-15.042071,-80.660470,-161.654499
119.072248,-15.382459,-80.696779,-162.008399
119.082312,-15.145311,-80.462777,-161.964713
119.092375,-14.773337,-80.316693,-161.415197
119.102590,-15.240102,-80.174789,-161.743989
119.112855,-16.763455,-80.292439,-163.545383
119.173876,-13.873100,-80.672389,-161.888748
119.204596,-18.345721,-80.165206,-166.963551
119.225075,-15.093513,-79.780018,-163.049484
119.296780,-18.063678,-80.202403,-166.997907
119.367950,-22.030729,-80.535273,-171.964957
119.429113,-24.626136,-81.160379,-175.872959
119.459505,-24.413268,-80.246875,-175.687246
119.469745,-22.625439,-80.004813,-173.714278
119.480010,-19.330465,-79.942412,-170.024309
119.490200,-17.284246,-80.155378,-167.648673
119.500415,-17.108072,-80.254825,-167.621325
119.510680,-17.148775,-80.455066,-167.907934
119.520895,-16.683231,-80.676897,-167.589551
119.561527,-21.138843,-81.418464,-172.947165
119.582007,-20.064828,-80.912777,-171.590321
119.633085,-13.369988,-80.953758,-164.028810
119.653137,-14.120339,-81.168377,-165.185051
119.734918,-8.111945,-81.219378,-158.957790
119.775623,-8.551350,-81.004199,-159.580157
119.857189,-5.351883,-81.717148,-156.176565
119.877694,-4.595119,-81.630384,-155.192990
119.887934,-4.221672,-81.416128,-154.809516
119.898199,-3.614489,-81.430670,-154.003376
119.908406,-2.938717,-81.366302,-153.300031
119.918621,-2.475652,-81.496636,-152.836411
119.959605,-2.414100,-81.881920,-153.150272
120.020652,1.123998,-81.737277,-149.356334
120.041131,1.750557,-81.908325,-148.879628
120.092357,3.080365,-81.313976,-147.192872
120.143557,3.444346,-81.767248,-146.702396
120.194568,5.032838,-81.553360,-145.027305
120.245697,5.611098,-81.751449,-144.254360
120.275894,5.939891,-81.659597,-143.881090
120.286134,6.399324,-81.732380,-143.303079
120.296374,7.006393,-81.771496,-142.611741
120.306639,7.367838,-81.996387,-142.208445
120.316854,7.363142,-82.007554,-142.279862
120.357813,6.862034,-82.034595,-142.698539
120.398420,9.484999,-81.770417,-139.629352
120.439405,9.490280,-82.023660,-139.441044
120.521298,10.286218,-81.951991,-138.477878
120.582762,11.000573,-82.169375,-137.573821
120.653696,10.673746,-82.268631,-137.617438
120.674150,10.171075,-82.348859,-138.301891
120.694630,9.558707,-81.932941,-138.645368
120.704864,9.207161,-82.136631,-138.941634
120.714969,9.271036,-82.294463,-139.046505
120.725109,9.348919,-82.247745,-138.874849
120.786573,9.372067,-82.312645,-138.750580
120.847394,9.592406,-82.078609,-138.243152
120.908835,8.640480,-81.795798,-139.285876
120.980162,8.052139,-81.728439,-139.858710
121.060945,7.169498,-81.753997,-140.513192
121.071034,6.377499,-81.682021,-141.220609
121.091187,4.876262,-81.842953,-142.876643
121.101427,5.117164,-81.689882,-142.616303
121.111641,6.456045,-81.714922,-141.186799
121.121881,7.052937,-81.687731,-140.540199
121.132121,7.187508,-81.783886,-140.410945
121.173065,5.580003,-81.401976,-141.705252
121.213647,7.139921,-81.708809,-140.109255
121.264797,4.211104,-81.628158,-143.324457
121.315405,6.178740,-81.716841,-140.849101
121.366251,4.301467,-81.696999,-142.915151
121.437563,3.660182,-81.501553,-143.381476
121.468233,4.355799,-81.143016,-142.504329
121.478472,4.829340,-81.273951,-141.969799
121.498927,4.781779,-81.585011,-142.307674
121.509142,3.960355,-81.726116,-143.166858
121.519382,3.128287,-81.802690,-144.203803
121.529622,2.459396,-81.864428,-144.979795
121.539887,2.226515,-81.805613,-145.290076
121.591027,3.037794,-81.728937,-144.227354
121.600940,2.791572,-81.738226,-144.468432
121.641899,2.842891,-81.258071,-144.305874
121.702745,3.299004,-81.484676,-143.663358
121.774449,4.654376,-81.620071,-141.718885
121.835886,4.994095,-80.993114,-140.982495
121.886880,7.162463,-80.837918,-138.063777
121.897095,6.781733,-80.982234,-138.619823
121.907335,6.283318,-80.932196,-139.168902
121.917575,5.964678,-80.549568,-139.391184
121.927785,5.746000,-80.313141,-139.350735
121.937835,5.605701,-80.187466,-139.416524
121.999074,5.359713,-80.844571,-139.794793
122.029819,6.154298,-80.790346,-138.578582
122.049946,6.140836,-80.826772,-138.626954
122.121592,2.621794,-81.458721,-143.017235
122.192969,-0.434895,-81.465025,-146.113019
122.274847,-6.840873,-81.867378,-153.056125
122.295133,-7.099589,-82.106237,-153.724322
