=> creating output\cityscapes\pidnet_small_cityscapes
=> creating log\cityscapes\pidnet_small\pidnet_small_cityscapes_2026-08-31-01-00
[*] Loading ImageNet-pretrained backbone from 'models/PIDNet/pretrained_models/imagenet/PIDNet_S_ImageNet.pth.tar'
C:\Users\anura\Desktop\research_2wadas\aurora-2w\models\PIDNet\models\aurora2w.py:270: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  pretrained_state = torch.load(cfg.MODEL.PRETRAINED, map_location='cpu')['state_dict']
Attention!!!
Loaded 302 parameters!
Over!!!
[*] Starting AuRoRA-2W Synthetic Roll Training Loop with AMP...
[*] Set to train for 20 epochs.

--- Epoch 1/20 ---
[Iter 1150/1487] LR: 0.009967 | Loss: 2.3047
[Iter 1160/1487] LR: 0.009967 | Loss: 2.0359
[Iter 1170/1487] LR: 0.009967 | Loss: 2.4064
[Iter 1180/1487] LR: 0.009967 | Loss: 5.9929
[Iter 1190/1487] LR: 0.009967 | Loss: 1.3753
[Iter 1200/1487] LR: 0.009966 | Loss: 1.0570
[Iter 1210/1487] LR: 0.009966 | Loss: 1.3317
[Iter 1220/1487] LR: 0.009966 | Loss: 4.0231
[Iter 1230/1487] LR: 0.009966 | Loss: 3.7107
[Iter 1240/1487] LR: 0.009966 | Loss: 4.0722
[Iter 1250/1487] LR: 0.009966 | Loss: 4.0944
[Iter 1260/1487] LR: 0.009966 | Loss: 1.4857
[Iter 1270/1487] LR: 0.009966 | Loss: 2.8036
[Iter 1280/1487] LR: 0.009965 | Loss: 2.5681
[Iter 1290/1487] LR: 0.009965 | Loss: 2.9646
[Iter 1300/1487] LR: 0.009965 | Loss: 2.6672
[Iter 1310/1487] LR: 0.009965 | Loss: 5.4459
[Iter 1320/1487] LR: 0.009965 | Loss: 1.7723
[Iter 1330/1487] LR: 0.009965 | Loss: 1.6638
[Iter 1340/1487] LR: 0.009965 | Loss: 4.4926
[Iter 1350/1487] LR: 0.009965 | Loss: 2.7890
[Iter 1360/1487] LR: 0.009964 | Loss: 2.9925
[Iter 1370/1487] LR: 0.009964 | Loss: 4.4182
[Iter 1380/1487] LR: 0.009964 | Loss: 3.2694
[Iter 1390/1487] LR: 0.009964 | Loss: 2.5344
[Iter 1400/1487] LR: 0.009964 | Loss: 3.0692
[Iter 1410/1487] LR: 0.009964 | Loss: 1.9437
[Iter 1420/1487] LR: 0.009964 | Loss: 3.6897
[Iter 1430/1487] LR: 0.009964 | Loss: 2.7510
[Iter 1440/1487] LR: 0.009963 | Loss: 3.5550
[Iter 1450/1487] LR: 0.009963 | Loss: 3.5435
[Iter 1460/1487] LR: 0.009963 | Loss: 2.2227
[Iter 1470/1487] LR: 0.009963 | Loss: 2.7658
[Iter 1480/1487] LR: 0.009963 | Loss: 3.1485

--- Epoch 3/20 ---
[Iter 0/1487] LR: 0.009963 | Loss: 3.3618
[Iter 10/1487] LR: 0.009963 | Loss: 2.2398
[Iter 20/1487] LR: 0.009963 | Loss: 2.2356
[Iter 30/1487] LR: 0.009962 | Loss: 2.7827
[Iter 40/1487] LR: 0.009962 | Loss: 3.1737
[Iter 50/1487] LR: 0.009962 | Loss: 3.7253
[Iter 60/1487] LR: 0.009962 | Loss: 3.2596
[Iter 70/1487] LR: 0.009962 | Loss: 2.5220
[Iter 80/1487] LR: 0.009962 | Loss: 2.7119
[Iter 90/1487] LR: 0.009962 | Loss: 2.5327
[Iter 100/1487] LR: 0.009962 | Loss: 3.9317
[Iter 110/1487] LR: 0.009961 | Loss: 2.3778
[Iter 120/1487] LR: 0.009961 | Loss: 5.0207
[Iter 130/1487] LR: 0.009961 | Loss: 1.9870
[Iter 140/1487] LR: 0.009961 | Loss: 3.1323
[Iter 150/1487] LR: 0.009961 | Loss: 2.5772
[Iter 160/1487] LR: 0.009961 | Loss: 7.7373
[Iter 170/1487] LR: 0.009961 | Loss: 2.4104
[Iter 180/1487] LR: 0.009961 | Loss: 5.4465
[Iter 190/1487] LR: 0.009960 | Loss: 2.3953
[Iter 200/1487] LR: 0.009960 | Loss: 2.6995
[Iter 210/1487] LR: 0.009960 | Loss: 4.6706
[Iter 220/1487] LR: 0.009960 | Loss: 2.3688
[Iter 230/1487] LR: 0.009960 | Loss: 2.7806
[Iter 240/1487] LR: 0.009960 | Loss: 3.8812
[Iter 250/1487] LR: 0.009960 | Loss: 4.0462
[Iter 260/1487] LR: 0.009960 | Loss: 3.5253
[Iter 270/1487] LR: 0.009959 | Loss: 4.9395
[Iter 280/1487] LR: 0.009959 | Loss: 2.5115
[Iter 290/1487] LR: 0.009959 | Loss: 1.7824
[Iter 300/1487] LR: 0.009959 | Loss: 2.3089
[Iter 310/1487] LR: 0.009959 | Loss: 2.6149
[Iter 320/1487] LR: 0.009959 | Loss: 3.0944
[Iter 330/1487] LR: 0.009959 | Loss: 1.3613
[Iter 340/1487] LR: 0.009959 | Loss: 7.6852
[Iter 350/1487] LR: 0.009958 | Loss: 1.1513
[Iter 360/1487] LR: 0.009958 | Loss: 2.2112
[Iter 370/1487] LR: 0.009958 | Loss: 6.1386
[Iter 380/1487] LR: 0.009958 | Loss: 2.4597
[Iter 390/1487] LR: 0.009958 | Loss: 0.9666
[Iter 400/1487] LR: 0.009958 | Loss: 3.7567
[Iter 410/1487] LR: 0.009958 | Loss: 4.5141
[Iter 420/1487] LR: 0.009958 | Loss: 3.4165
[Iter 430/1487] LR: 0.009957 | Loss: 1.5633
[Iter 440/1487] LR: 0.009957 | Loss: 1.7920
[Iter 450/1487] LR: 0.009957 | Loss: 2.2251
[Iter 460/1487] LR: 0.009957 | Loss: 2.1524
[Iter 470/1487] LR: 0.009957 | Loss: 1.0858
[Iter 480/1487] LR: 0.009957 | Loss: 2.9804
[Iter 490/1487] LR: 0.009957 | Loss: 3.1083
[Iter 500/1487] LR: 0.009957 | Loss: 4.7861
[Iter 510/1487] LR: 0.009956 | Loss: 3.5228
[Iter 520/1487] LR: 0.009956 | Loss: 3.1939
[Iter 530/1487] LR: 0.009956 | Loss: 3.5546
[Iter 540/1487] LR: 0.009956 | Loss: 2.9454
[Iter 550/1487] LR: 0.009956 | Loss: 4.7964
[Iter 560/1487] LR: 0.009956 | Loss: 5.0684
[Iter 570/1487] LR: 0.009956 | Loss: 4.3594
[Iter 580/1487] LR: 0.009956 | Loss: 1.6773
[Iter 590/1487] LR: 0.009955 | Loss: 1.7585
[Iter 600/1487] LR: 0.009955 | Loss: 1.9935
[Iter 610/1487] LR: 0.009955 | Loss: 6.0372
[Iter 620/1487] LR: 0.009955 | Loss: 2.0715
[Iter 630/1487] LR: 0.009955 | Loss: 3.4099
[Iter 640/1487] LR: 0.009955 | Loss: 2.8595
[Iter 650/1487] LR: 0.009955 | Loss: 3.3928
[Iter 660/1487] LR: 0.009955 | Loss: 2.4588
[Iter 670/1487] LR: 0.009954 | Loss: 1.2280
[Iter 680/1487] LR: 0.009954 | Loss: 1.3435
[Iter 690/1487] LR: 0.009954 | Loss: 4.2542
[Iter 700/1487] LR: 0.009954 | Loss: 2.4252
[Iter 710/1487] LR: 0.009954 | Loss: 5.5633
[Iter 720/1487] LR: 0.009954 | Loss: 1.3988
[Iter 730/1487] LR: 0.009954 | Loss: 2.7634
[Iter 740/1487] LR: 0.009954 | Loss: 5.1965
[Iter 750/1487] LR: 0.009953 | Loss: 3.7582
[Iter 760/1487] LR: 0.009953 | Loss: 3.3728
[Iter 770/1487] LR: 0.009953 | Loss: 0.9791
[Iter 780/1487] LR: 0.009953 | Loss: 0.9719
[Iter 790/1487] LR: 0.009953 | Loss: 8.9785
[Iter 800/1487] LR: 0.009953 | Loss: 1.7124
[Iter 810/1487] LR: 0.009953 | Loss: 4.5280
[Iter 820/1487] LR: 0.009953 | Loss: 2.4917
[Iter 830/1487] LR: 0.009952 | Loss: 2.8567
[Iter 840/1487] LR: 0.009952 | Loss: 5.3416
